Date,Open,High,Low,Close,Volume,Price
01/08/2017,32579.80078,32632.01953,32462.25,32575.16992,9000,32575.16992
02/08/2017,32641.58008,32686.48047,32394.89063,32476.74023,10500,32476.74023
03/08/2017,32502.55078,32502.55078,32194.58008,32237.88086,12600,32237.88086
04/08/2017,32191.11914,32352.18945,32107.99023,32325.41016,11300,32325.41016
07/08/2017,32377.80078,32396.14063,32235.82031,32273.66992,10400,32273.66992
08/08/2017,32341.05078,32354.76953,31915.19922,32014.18945,9400,32014.18945
09/08/2017,31926.14063,31967.2793,31731.91016,31797.83984,9300,31797.83984
10/08/2017,31750.73047,31756.26953,31422.80078,31531.33008,13000,31531.33008
11/08/2017,31355.91992,31379.19922,31128.01953,31213.58984,15200,31213.58984
14/08/2017,31299.51953,31526.40039,31298.90039,31449.0293,9700,31449.0293
16/08/2017,31566.24023,31805.99023,31399.34961,31770.89063,12500,31770.89063
17/08/2017,31919.16992,31937.50977,31714.09961,31795.46094,8500,31795.46094
18/08/2017,31729.88086,31729.88086,31349.13086,31524.67969,16400,31524.67969
21/08/2017,31609.92969,31641.81055,31220.5293,31258.84961,23600,31258.84961
22/08/2017,31393.92969,31484.2793,31241.5,31291.84961,10800,31291.84961
23/08/2017,31407.4707,31593.39063,31379.25,31568.00977,10000,31568.00977
24/08/2017,31673.43945,31678.18945,31546.05078,31596.06055,8900,31596.06055
28/08/2017,31756.86914,31809.69922,31701.66992,31750.82031,10100,31750.82031
29/08/2017,31724.83984,31739.80078,31360.81055,31388.39063,6800,31388.39063
30/08/2017,31534.57031,31727.98047,31533.01953,31646.46094,5400,31646.46094
31/08/2017,31685.43945,31757.17969,31551.84961,31730.49023,17900,31730.49023
